level,long,lat
0,-0.130495,51.511534
0,-0.140844,51.514684
0,-0.135874,51.515684
0,-0.110329,51.51825
0,-0.125708,51.507725
0,-0.145532,51.498257
0,-0.133209,51.518456
0,-0.139006,51.510266
0,-0.124229,51.513205
0,-0.150314,51.493305
0,-0.145532,51.498257
0,-0.138915,51.512495
0,-0.135291,51.498553
0,-0.140043,51.514536
0,-0.119302,51.518405
0,-0.151659,51.494595
0,-0.12578,51.514408
0,-0.140363,51.498175
0,-0.130626,51.509396
0,-0.127633,51.515598
0,-0.11889,51.514064
0,-0.148081,51.512136
0,-0.13525,51.50661
0,-0.132818,51.514286
0,-0.143092,51.515753
0,-0.143092,51.515753
0,-0.125924,51.509491
0,-0.152929,51.522367
0,-0.129778,51.511783
0,-0.122502,51.510345
0,-0.127139,51.513243
0,-0.13641,51.508202
0,-0.128701,51.511703
0,-0.1354,51.511054
0,-0.149193,51.514564
0,-0.142252,51.522215
0,-0.133209,51.518456
0,-0.125924,51.509491
0,-0.143045,51.520807
0,-0.156549,51.519419
0,-0.115772,51.512449
0,-0.132818,51.514286
0,-0.133012,51.510953
0,-0.133899,51.519933
0,-0.137521,51.507446
0,-0.141491,51.495936
0,-0.125924,51.509491
0,-0.143045,51.520807
0,-0.156531,51.511667
0,-0.132681,51.513052
0,-0.12233,51.519092
0,-0.136326,51.511312
0,-0.125924,51.509491
0,-0.136339,51.51347
0,-0.125165,51.516395
0,-0.142662,51.519946
0,-0.156852,51.521564
0,-0.13253,51.520963
0,-0.11988,51.511022
0,-0.140222,51.515088
0,-0.147883,51.50672
0,-0.12377,51.512802
0,-0.149087,51.492545
0,-0.132818,51.514286
0,-0.125614,51.517742
0,-0.129438,51.513064
0,-0.151287,51.508428
0,-0.145368,51.508676
0,-0.141491,51.495936
0,-0.120439,51.510042
0,-0.13012,51.517858
0,-0.139175,51.504712
0,-0.125924,51.509491
0,-0.132899,51.499894
0,-0.134925,51.508556
0,-0.120439,51.510042
0,-0.140132,51.520832
0,-0.142679,51.495775
0,-0.144408,51.507115
0,-0.136074,51.508313
0,-0.140455,51.510433
0,-0.132899,51.499894
0,-0.139406,51.514247
0,-0.125614,51.517742
0,-0.152902,51.508741
0,-0.127984,51.5109
0,-0.130864,51.507097
0,-0.115772,51.512449
0,-0.135291,51.498553
0,-0.140222,51.515088
0,-0.13012,51.517858
0,-0.127633,51.515598
0,-0.126121,51.516275
0,-0.153115,51.515237
0,-0.134387,51.51397
0,-0.11889,51.514064
0,-0.142195,51.508401
0,-0.109905,51.519432
0,-0.134387,51.51397
0,-0.136304,51.515727
0,-0.130769,51.510468
0,-0.132976,51.516623
0,-0.125352,51.515004
0,-0.141491,51.495936
0,-0.125614,51.517742
0,-0.143408,51.514365
0,-0.135291,51.498553
0,-0.135283,51.510729
0,-0.125924,51.509491
0,-0.148712,51.514709
0,-0.125924,51.509491
0,-0.145989,51.512544
0,-0.124975,51.506985
0,-0.118929,51.512059
0,-0.119047,51.520757
0,-0.132382,51.510152
0,-0.148253,51.5207
0,-0.127583,51.51682
0,-0.13568,51.517596
0,-0.15153,51.500995
0,-0.136074,51.508313
0,-0.127032,51.503196
0,-0.151635,51.513353
0,-0.140222,51.515088
0,-0.134387,51.51397
0,-0.115921,51.520716
0,-0.154262,51.517162
0,-0.135283,51.510729
0,-0.119302,51.518405
0,-0.124162,51.514832
0,-0.154262,51.517162
0,-0.149193,51.514564
0,-0.137439,51.51052
0,-0.156852,51.521564
0,-0.141882,51.50899
0,-0.142994,51.498315
0,-0.11988,51.511022
0,-0.124836,51.506138
0,-0.136308,51.519162
0,-0.118337,51.519792
0,-0.121977,51.517845
0,-0.143408,51.514365
0,-0.131078,51.514012
0,-0.145735,51.514195
0,-0.125708,51.507725
0,-0.143801,51.518558
0,-0.131706,51.509404
0,-0.138296,51.517782
0,-0.140222,51.515088
0,-0.129653,51.515189
0,-0.138003,51.51507
0,-0.12578,51.514408
0,-0.135737,51.519378
0,-0.114293,51.515447
0,-0.129438,51.513064
0,-0.11988,51.511022
0,-0.149787,51.507379
0,-0.133899,51.519933
0,-0.119302,51.518405
0,-0.149087,51.492545
0,-0.128903,51.507286
